route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color,route_desc,route_url,continuous_pickup,continuous_drop_off,competent_authority,contract
95dcb79c0f92c30be08c75aac56b8e0d,LAANE_VIRUMAA_10230847,50,Väike-Maarja - Simuna - Rakvere,3,3bb5db,000000,Liin ei ole käigus riigipühadel,,,,Lääne-Virumaa,Lääne-Virumaa
4314feaf6e82ea16f55839906bb1fcde,LAANE_VIRUMAA_10230847,47A,Rakvere - Ubja - Uhtna - Sõmeru - Rakvere,3,3bb5db,000000,Liin on riigipühadel käigus pühapäevase sõiduplaani järgi,,,,Lääne-Virumaa,Lääne-Virumaa
ddfbb7a12acfae8741ff13541b9185a3,LAANE_VIRUMAA_10230847,19,Rakvere - Vihula - Vergi - Võsu - Rakvere,3,3bb5db,000000,Liin ei ole käigus riigipühadel,,,,Lääne-Virumaa,Lääne-Virumaa
8236efaebcec19a518dfce939741b11f,LAANE_VIRUMAA_10230847,18,Aseri - Viru-Nigula - Kunda,3,3bb5db,000000,Liin ei ole käigus riigipühadel,,,,Lääne-Virumaa,Lääne-Virumaa
86caeb60e6d73f21516f062af9a52eec,LAANE_VIRUMAA_10230847,10,Rakke - Kiltsi - Väike-Maarja - Tamsalu,3,3bb5db,000000,Liin on riigipühadel käigus pühapäevase sõiduplaani järgi,,,,Lääne-Virumaa,Lääne-Virumaa
593e4c83e7a3dde9adf2d7de424bad1f,LAANE_VIRUMAA_10230847,63,Rakvere - Lepna - Lasila,3,3bb5db,000000,Liin ei ole käigus riigipühadel,,,,Lääne-Virumaa,Lääne-Virumaa
609b19c4bd3235dd0da05dd3d707d5b5,LAANE_VIRUMAA_10230847,27,Rakvere - Roela - Rasivere,3,3bb5db,000000,Liin ei ole käigus riigipühadel,,,,Lääne-Virumaa,Lääne-Virumaa
240fd867e2791dac39645d727dbdb426,LAANE_VIRUMAA_10230847,11,Rakvere - Haljala,3,3bb5db,000000,Liin ei ole käigus riigipühadel,,,,Lääne-Virumaa,Lääne-Virumaa
c8fd3f97c19b9596d8719a2e937514f1,LAANE_VIRUMAA_10230847,43,Rakvere - Mädapea,3,3bb5db,000000,Liin ei ole käigus riigipühadel,,,,Lääne-Virumaa,Lääne-Virumaa
68efc2f5eff072214c06147875f8ecb4,LAANE_VIRUMAA_10230847,41C,Rakvere - Ulvi - Viru-Kabala,3,3bb5db,000000,Liin on riigipühadel käigus pühapäevase sõiduplaani järgi,,,,Lääne-Virumaa,Lääne-Virumaa
cd24e622187b2e708ff8d1925e5dfdc5,LAANE_VIRUMAA_10230847,53,Tapa - Tamsalu - Järva-Jaani,3,3bb5db,000000,Liin on riigipühadel käigus pühapäevase sõiduplaani järgi,,,,Lääne-Virumaa,Lääne-Virumaa
1e8ff333d66a208095a65ea3944107a8,LAANE_VIRUMAA_10230847,34,Tamsalu - Karitsa - Rakvere - Lasila,3,3bb5db,000000,Liin ei ole käigus riigipühadel,,,,Lääne-Virumaa,Lääne-Virumaa
e58f7713897e914a330bcebe6b9a7304,LAANE_VIRUMAA_10230847,44,Rakvere - Väike-Maarja - Simuna - Roela - Rakvere,3,3bb5db,000000,Liin on riigipühadel käigus pühapäevase sõiduplaani järgi,,,,Lääne-Virumaa,Lääne-Virumaa
f0634d167e2fb2b979e7065926856531,LAANE_VIRUMAA_10230847,49,Rakvere - Väike-Maarja - Kiltsi - Rakke,3,3bb5db,000000,Liin ei ole käigus riigipühadel,,,,Lääne-Virumaa,Lääne-Virumaa
4f0cff576cdb40a922c0ed26baa8f417,LAANE_VIRUMAA_10230847,51,Tapa - Tamsalu - Rakvere,3,3bb5db,000000,Liin on riigipühadel käigus pühapäevase sõiduplaani järgi,,,,Lääne-Virumaa,Lääne-Virumaa
6966dd899a36292aaa721b39da892d9f,LAANE_VIRUMAA_10230847,18V,Aseri - Kunda - Võsu - Tallinn,3,3bb5db,000000,Peatuses Viru raba ümberistumine liinilt/liinile 61,,,,Lääne-Virumaa,Lääne-Virumaa
d9eb3bcf2bf546f4498be7d89f852e50,LAANE_VIRUMAA_10230847,30,Rakvere - Kandle - Karula - Karepa - Rakvere,3,3bb5db,000000,Liin on riigipühadel käigus pühapäevase sõiduplaani järgi,,,,Lääne-Virumaa,Lääne-Virumaa
